,,,,,,,,,,
Age Group,Marital Status,,,,,,,,,
,Single,Married,Widowed,Divorced,Civil partnership,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,German: TRUE,,,,,,,,,5 marital statuses
0 - 18 , 502 684,–,–,–,–,,,,,11 age groups
   18 - 25, 193 167, 3 170,–,  68,–,,,,,2 German TRUE / FALSE
   25 - 30, 152 743, 17 439,  15,  761,  24,,,,,5*11*2 = 110 Combinations (rows)
   30 - 35, 139 934, 46 574,  66, 3 416,  249,,,,,
   35 - 40, 132 967, 78 836,  188, 8 902,  807,,,,,
   40 - 45, 104 534, 84 500,  438, 14 412, 1 244,,,,,
   45 - 50, 76 436, 77 578,  956, 18 140, 1 433,,,,,
   50 - 55, 60 256, 78 717, 1 766, 23 709, 1 317,,,,,
   55 - 60, 63 967, 104 864, 4 697, 38 100, 1 680,,,,,
   60 - 65, 49 104, 113 716, 9 250, 44 543, 1 547,,,,,
   65 or older, 64 912, 331 545, 155 810, 111 711, 2 375,,,,,
,,,,,,,,,,
,German: FALSE,,,,,,,,,
0 - 18 , 131 156,–,–,–,–,,,,,
   18 - 25, 82 938, 5 119,  3,  94,–,,,,,
   25 - 30, 95 459, 23 978,  19, 1 028,  32,,,,,
   30 - 35, 85 582, 50 848,  93, 3 211,  198,,,,,
   35 - 40, 58 450, 56 076,  223, 5 354,  390,,,,,
   40 - 45, 35 748, 45 545,  394, 6 884,  472,,,,,
   45 - 50, 21 700, 37 895,  789, 8 132,  363,,,,,
   50 - 55, 14 502, 33 538, 1 228, 8 927,  317,,,,,
   55 - 60, 9 263, 27 317, 1 794, 8 170,  240,,,,,
   60 - 65, 6 352, 21 120, 2 317, 6 582,  153,,,,,
   65 or older, 8 162, 38 992, 14 425, 10 148,  158,,,,,
