,Alter,,,,,
,Deutsche,,,,,
 unter 18 , 502 684, 502 684,–,–,–,–
   18 - 25, 196 405, 193 167, 3 170,–,  68,–
   25 - 30, 170 982, 152 743, 17 439,  15,  761,  24
   30 - 35, 190 239, 139 934, 46 574,  66, 3 416,  249
   35 - 40, 221 700, 132 967, 78 836,  188, 8 902,  807
   40 - 45, 205 128, 104 534, 84 500,  438, 14 412, 1 244
   45 - 50, 174 543, 76 436, 77 578,  956, 18 140, 1 433
   50 - 55, 165 765, 60 256, 78 717, 1 766, 23 709, 1 317
   55 - 60, 213 308, 63 967, 104 864, 4 697, 38 100, 1 680
   60 - 65, 218 160, 49 104, 113 716, 9 250, 44 543, 1 547
   65 und mehr, 666 353, 64 912, 331 545, 155 810, 111 711, 2 375
Zusammen,2 925 267,1 540 704, 936 939, 173 186, 263 762, 10 676
